ZIPCode;Latitude;Longitude
831 02;37.72285;26.61996
831 01;37.72697;26.9088
831 03;37.69133;26.94114
831 04;37.71646;26.80857
831 04;37.71646;26.80857
833 01;37.56815;26.06503
831 00;37.73524;26.97347
834 00;37.58375;26.43709
821 03;38.48406;25.92687
822 00;38.4251;26.07685
821 02;38.23448;26.04488
823 00;38.54304;26.11005
821 01;35.29884;25.16072
821 00;38.37316;26.08867
821 04;38.54251;25.56361
300 21;38.97833;21.3875
300 27;38.63801;21.3948
301 00;38.62863;21.41232
304 00;38.43808;21.35365
305 00;38.86341;21.1667
300 20;38.39128;21.72569
300 23;38.59117;21.92363
300 06;38.57777;21.11758
300 02;38.89408;20.92682
302 00;38.89408;20.92682
300 15;38.48689;21.59453
300 17;38.97268;21.35605
300 14;38.36991;21.54101
300 08;38.57314;21.66641
300 05;38.79273;22.72514
300 04;38.78082;20.70676
300 07;38.41197;21.25521
300 25;38.67985;21.89833
300 11;38.50207;21.46336
300 16;39.04306;21.118
300 02;38.39491;21.43689
302 00;38.39491;21.43689
300 19;38.72499;20.97451
303 00;38.39553;21.82643
300 01;38.47943;21.21296
300 12;38.78354;20.88268
300 03;38.58259;21.44385
300 10;38.61443;21.52478
300 22;38.59787;21.79724
300 26;38.48951;21.85851
300 09;38.68011;21.21296
250 18;38.11332;21.64769
250 10;38.14615;22.35377
251 00;38.25082;22.07728
250 06;38.15414;22.31373
250 16;37.88906;22.01109
250 02;38.16206;21.66874
250 04;37.86599;21.94033
250 03;38.16182;22.17879
250 15;37.98189;21.72469
250 00;38.03107;22.11058
250 01;38.03107;22.11058
250 09;37.03545;24.65375
252 00;38.13361;21.55003
250 07;37.86342;22.14746
262 21;38.2473;21.73613
262 22;38.23742;21.72867
262 23;38.25564;21.76445
262 24;38.23724;21.73613
262 25;38.2444;21.74134
262 26;38.23608;21.74209
262 32;38.23608;21.74209
263 31;38.24055;21.76445
263 32;38.22117;21.73464
263 33;38.20063;21.71079
263 34;38.19716;21.72867
263 35;38.21733;21.76743
264 41;38.25693;21.74731
264 42;38.29064;21.7719
264 43;38.27111;21.77041
264 44;38.27111;21.77041
265 00;38.15929;21.83301
265 04;38.28064;21.85348
250 08;38.109;21.78273
272 00;37.79611;21.35061
270 51;37.92217;21.28804
270 61;37.48485;21.9043
272 00;37.48485;21.9043
270 65;37.67965;21.59453
270 50;37.86099;21.20624
273 00;37.85256;21.25384
270 58;37.59752;21.54372
270 69;37.85538;21.51668
270 54;37.4988;21.68992
270 62;37.56173;21.78531
270 64;37.7362;21.5355
270 67;37.65223;21.31662
270 55;37.58434;21.60718
270 68;37.89763;22.47207
270 66;37.71088;21.71992
270 63;37.85846;21.80338
270 53;37.93793;21.26082
270 56;37.44038;21.77173
271 00;37.69118;21.42759
270 52;38.0787;23.7226
270 57;37.89762;21.31445
510 30;40.19815;21.51481
511 00;40.08359;21.4262
512 00;39.92642;21.80854
510 32;40.06178;21.14142
522 00;40.44881;21.26225
520 59;40.60327;21.32027
520 53;40.41479;21.38062
520 57;40.48062;21.28772
520 58;40.48747;21.01027
521 00;40.51922;21.26817
520 52;40.49868;21.38649
520 55;40.67269;21.26213
520 56;40.51205;21.31962
520 50;38.9241;22.16462
520 51;40.41726;21.05714
500 04;40.16514;21.82089
504 00;40.24735;22.08075
500 05;40.51077;21.54683
500 03;40.34432;21.51241
501 00;40.30103;21.78596
500 10;40.26707;21.82756
500 01;40.30488;21.40374
500 07;40.21253;21.06989
502 00;40.51148;21.67925
500 06;40.60977;21.83301
505 00;40.18492;21.99954
503 00;40.2626;21.54744
500 02;40.26114;21.32573
530 77;40.78193;21.04604
532 00;40.69008;21.67888
530 76;40.76038;21.20641
530 74;40.77445;21.62576
530 73;40.58437;21.49187
530 71;40.8325;21.58294
530 72;40.69006;21.62363
530 75;40.62725;21.54683
530 70;40.63501;21.7187
531 00;40.7823;21.40983
470 43;39.4643;21.06989
470 44;39.27851;21.21296
471 00;39.16451;20.97451
470 45;39.36695;21.16527
470 48;39.15927;21.21296
470 40;39.10222;21.08372
470 47;39.26617;21.33848
470 41;39.03659;20.99239
472 00;39.16326;21.03412
470 46;39.32554;20.9985
470 42;39.14581;20.9149
461 00;39.50615;20.26553
460 30;39.37767;20.41429
462 00;39.4681;20.51138
463 00;39.4681;20.51138
463 00;39.65216;20.37854
440 07;39.82366;20.7287
440 17;39.64598;20.51532
440 14;39.8066;21.00465
440 02;39.93397;20.46517
440 09;39.40785;20.73609
440 04;39.90912;20.59305
440 03;39.75375;20.64906
452 21;39.6376;20.87913
453 32;39.65506;20.83145
453 33;39.66932;20.84039
454 44;39.67115;20.84933
454 45;39.68018;20.83443
455 00;39.6432;20.85529
440 13;39.51735;20.95409
440 06;40.01389;20.56389
441 00;40.04546;20.7489
442 00;39.77018;21.18259
440 19;40.05252;20.87913
440 01;39.52391;21.09704
440 15;40.27264;20.85529
440 10;39.90472;20.82031
483 00;39.24981;20.78511
480 62;39.23723;20.59898
480 61;39.25765;20.68841
480 60;39.29303;20.39364
481 00;38.96099;20.75051
482 00;39.20396;20.88114
430 61;39.48547;21.87035
430 65;39.35186;21.45144
430 66;37.74054;23.9277
430 62;39.45831;22.20903
431 00;39.36556;21.92669
430 63;37.3212;22.14504
430 67;39.33772;21.76402
430 60;39.42834;21.65365
432 00;39.46436;22.08201
430 70;39.49602;21.9284
430 68;40.68649;23.56095
433 00;39.30019;22.11918
430 64;37.57063;23.23795
400 03;39.66181;22.76288
404 00;39.75195;22.36954
400 05;39.78129;21.97649
400 04;39.86094;22.47624
402 00;39.89468;22.18858
400 01;39.95817;21.9761
410 00;39.49475;22.25629
412 21;39.64039;22.42393
412 22;39.59112;22.4202
412 23;39.63423;22.42542
413 34;39.62141;22.38444
413 35;39.61601;22.42766
413 36;39.64305;22.44405
414 47;39.64568;22.41276
415 00;39.48467;22.47683
400 02;40.08601;22.11918
400 09;39.61641;22.53066
400 07;39.90155;22.6437
400 06;39.80375;22.54835
401 00;39.73691;22.2874
400 11;39.70918;22.41127
403 00;39.29396;22.38454
373 00;39.34058;23.01249
371 00;39.20566;22.74699
370 05;39.19686;23.89417
370 06;39.23009;23.21612
375 00;39.38245;22.74461
382 21;39.36462;22.93321
382 22;39.36462;22.93321
383 33;39.37048;22.949
383 34;39.36485;22.92617
385 00;39.42125;22.88205
370 01;39.45039;23.1027
370 10;39.31;23.17989
370 13;39.1725;23.22362
384 45;39.36462;22.93321
384 46;39.36462;22.93321
374 00;39.27112;22.79863
370 11;39.40882;22.98928
370 02;39.15629;23.44189
370 03;39.12197;23.72556
370 08;39.10297;22.89661
370 09;39.10041;23.07713
370 12;39.38783;23.17301
420 34;39.86378;21.5616
422 00;39.89468;22.18858
422 00;39.70662;21.62887
420 36;39.65009;21.23681
